id,character_type,style,complexion,trait_count,item_1,item_2,item_3,item_4,item_5,item_6,item_7
26,Person,Woman,Tan,1,Deep Hair,,,,,,
27,Person,Man,Fair,2,Sharp Spike,Ear Ring,,,,,
28,Person,Man,Deep,2,Large Shades,Wacky Hair,,,,,
29,Person,Woman,Tan,3,Rim Glasses,Side Shaved,Ear Ring,,,,
30,Person,Man,Deep,2,Dark Beard,Soft Cap,,,,,
31,Person,Woman,Deep,1,Thin Hair,,,,,,
32,Person,Man,Fair,2,Sad Face,Vision Gear,,,,,
33,Person,Man,Fair,1,Sharp Spike,,,,,,
34,Person,Woman,Fair,2,Loose Hair,Violet Lipstick,,,,,
35,Person,Man,Deep,5,Smoke Stick,Sharp Spike,Ear Ring,Rim Glasses,Simple Beard,,
36,Person,Woman,Tan,1,Red Spike Cut,,,,,,
37,Person,Woman,Deep,2,Soft Cap,Blue Clown Eyes,,,,,
38,Person,Woman,Fair,3,Loose Hair,Retro Shades,Violet Lipstick,,,,
39,Person,Man,Fair,3,Sad Face,Bald Head,Standard Shades,,,,
40,Person,Man,Fair,3,Head Wrap,Jaw Beard,Happy Face,,,,
41,Person,Man,Deep,3,Side Burns,Free Hair,Green Clown Eyes,,,,
42,Person,Woman,Deep,2,Free Hair,Smoke Stick,,,,,
43,Person,Woman,Tan,1,Side Shaved,,,,,,
44,Person,Man,Fair,1,Untidy Hair,,,,,,
45,Person,Man,Tan,2,Ear Ring,Beauty Mark,,,,,
46,Person,Woman,Tan,2,Violet Lipstick,Smooth Dark Hair,,,,,
47,Person,Man,Deep,1,Wool Cap,,,,,,
48,Person,Man,Fair,2,Large Shades,Spike Cut,,,,,
49,Person,Woman,Deep,2,Head Wrap,Purple Makeup,,,,,
50,Person,Man,Tan,2,Freckles,Dress Hat,,,,,
51,Person,Man,Tan,3,Side Burns,Free Hair,Ear Ring,,,,
52,Person,Man,Deep,4,Stubble Beard,Ear Ring,Study Glasses,Wool Cap,,,
53,Person,Woman,Fair,2,Large Shades,Smooth Hair,,,,,
54,Person,Man,Deep,1,Hooded Top,,,,,,
55,Person,Man,Fair,1,Patch Eye,,,,,,
56,Person,Man,Deep,1,Bald Head,,,,,,
57,Person,Man,Fair,1,Head Band,,,,,,
58,Person,Man,Tan,2,Dark Beard,Hooded Top,,,,,
59,Person,Man,Pale,2,Side Burns,Ranch Hat,,,,,
60,Person,Woman,Fair,2,Thin Hair,Violet Lipstick,,,,,
61,Person,Woman,Fair,1,Deep Hair,,,,,,
62,Person,Woman,Deep,4,Bright Lipstick,Ear Ring,Dark Spike Cut,Blue Clown Eyes,,,
63,Person,Man,Deep,3,Ear Ring,Bald Head,Slim Shades,,,,
64,Person,Woman,Tan,2,Smooth Blonde Hair,Violet Lipstick,,,,,
65,Person,Woman,Tan,2,Face Mask,Head Band,,,,,
66,Person,Woman,Deep,1,Tassel Cap,,,,,,
67,Person,Woman,Deep,3,Side Shaved,Violet Lipstick,Depth Glasses,,,,
68,Person,Man,Deep,2,Study Glasses,Head Rag,,,,,
69,Person,Man,Tan,2,Dark Beard,Dress Hat,,,,,
70,Person,Woman,Tan,4,Wacky Hair,Standard Shades,Ear Ring,Smoke Stick,,,
71,Person,Woman,Fair,3,Green Makeup,Side Shaved,Violet Lipstick,,,,
72,Person,Man,Deep,4,Dress Hat,Ear Ring,Study Glasses,Simple Beard,,,
73,Person,Woman,Tan,3,Dark Lipstick,Head Wrap,Ear Ring,,,,
74,Person,Man,Deep,3,Stubble Beard,Ear Ring,Dark Spike Cut,,,,
75,Person,Man,Fair,3,Stubble Beard,Wool Cap,Patch Eye,,,,
76,Person,Man,Fair,2,Smoke Stick,Head Rag,,,,,
77,Person,Man,Deep,2,Thin Hair,Handle Mustache,,,,,
78,Person,Man,Tan,3,Handle Mustache,Wool Cap,Patch Eye,,,,
79,Person,Man,Deep,2,Simple Beard,Dark Spike Cut,,,,,
80,Person,Man,Pale,2,Free Hair,Moustache,,,,,
81,Person,Man,Fair,2,Head Band,Slim Shades,,,,,
82,Person,Man,Pale,1,Head Band,,,,,,
83,Person,Man,Fair,3,Vapor Stick,Bald Head,Slim Shades,,,,
84,Person,Man,Fair,3,Untidy Hair,Large Shades,Ear Ring,,,,
85,Person,Woman,Deep,1,Wacky Hair,,,,,,
86,Person,Woman,Deep,4,Wool Cap,Green Makeup,Bright Lipstick,Ear Ring,,,
87,Person,Man,Fair,2,Hooded Top,Ear Ring,,,,,
88,Person,Woman,Fair,2,Soft Cap,Bright Lipstick,,,,,
89,Person,Woman,Deep,1,Neck Band,,,,,,
90,Person,Man,Tan,2,Hooded Top,Patch Eye,,,,,
91,Person,Woman,Fair,2,Funny Nose,Smooth Hair,,,,,
92,Person,Woman,Fair,3,Pink Hair Hat,Violet Lipstick,Study Glasses,,,,
93,Person,Woman,Fair,1,Head Wrap,,,,,,
94,Person,Woman,Deep,3,Pink Hair Hat,Standard Shades,Ear Ring,,,,
95,Person,Man,Tan,2,Ear Ring,Spike Cut,,,,,
96,Person,Woman,Fair,1,Golden Bob,,,,,,
97,Person,Man,Tan,1,Free Hair,,,,,,
98,Person,Woman,Fair,3,Dark Lipstick,Work Goggles,Deep Hair,,,,
99,Person,Man,Tan,2,Smoke Stick,Hooded Top,,,,,
100,Person,Woman,Tan,1,Tassel Cap,,,,,,
101,Person,Man,Tan,2,Officer Cap,Study Glasses,,,,,
102,Person,Man,Tan,2,Night Hair,Rich Beard,,,,,
103,Person,Woman,Deep,3,Dark Lipstick,Green Makeup,Golden Bob,,,,
104,Person,Man,Deep,4,Dark Beard,Ear Ring,Wacky Hair,Patch Eye,,,
105,Person,Man,Fair,1,Thin Spike Cut,,,,,,
106,Person,Woman,Fair,1,Smooth Blonde Hair,,,,,,
107,Person,Man,Tan,1,Head Band,,,,,,
108,Person,Woman,Fair,2,Dark Lipstick,Head Band,,,,,
109,Person,Man,Deep,3,Handle Mustache,Dress Hat,Ear Ring,,,,
110,Person,Woman,Deep,4,Violet Lipstick,Ear Ring,Dark Spike Cut,Smoke Stick,,,
111,Person,Man,Deep,2,Handle Mustache,Wool Cap,,,,,
112,Person,Man,Tan,4,Head Wrap,Ear Ring,Rim Glasses,Full Beard,,,
113,Person,Man,Pale,1,Spike Cut,,,,,,
114,Person,Woman,Deep,1,Red Spike Cut,,,,,,
115,Person,Woman,Deep,2,Side Shaved,Ear Ring,,,,,
116,Person,Woman,Deep,4,Dark Lipstick,Crown Band,Ear Ring,Blue Clown Eyes,,,
117,Undead,Man,Plain,2,Untidy Hair,Dark Front Beard,,,,,
118,Person,Woman,Fair,2,Dark Lipstick,Head Wrap,,,,,
119,Person,Man,Tan,2,Soft Cap,Ear Ring,,,,,
120,Person,Woman,Tan,2,Tassel Cap,Large Shades,,,,,
121,Person,Woman,Fair,2,Crown Band,Violet Lipstick,,,,,
122,Person,Man,Fair,2,Smoke Stick,Spike Cut,,,,,
123,Person,Woman,Tan,2,Wild White Hair,Freckles,,,,,
124,Person,Man,Tan,3,Dark Beard,Sharp Spike,Ear Ring,,,,
125,Person,Woman,Fair,3,Tassel Cap,Large Shades,Violet Lipstick,,,,
126,Person,Man,Pale,4,Smoke Stick,Ear Ring,Head Band,Patch Eye,,,
127,Person,Woman,Tan,2,Green Clown Eyes,Thin Hair,,,,,
128,Person,Man,Fair,4,Officer Cap,Jaw Beard,Vapor Stick,Beauty Mark,,,
129,Person,Man,Fair,4,Smoke Stick,Forward Cap,Golden Chain,Rim Glasses,,,
130,Person,Man,Fair,1,Spike Cut,,,,,,
131,Person,Woman,Tan,2,Bright Lipstick,Smooth Dark Hair,,,,,
132,Person,Man,Deep,1,Thin Spike Cut,,,,,,
133,Person,Man,Pale,3,Jaw Beard,Violet Hair,Smoking Pipe,,,,
134,Person,Man,Tan,1,Officer Cap,,,,,,
135,Person,Man,Fair,1,Forward Cap,,,,,,
136,Person,Man,Deep,3,Stubble Beard,Bald Head,Green Clown Eyes,,,,
137,Person,Man,Deep,1,Untidy Hair,,,,,,
138,Person,Man,Fair,2,Thin Hair,Rim Glasses,,,,,
139,Person,Man,Tan,2,Head Rag,Patch Eye,,,,,
140,Person,Woman,Deep,1,Bright Lipstick,,,,,,
141,Person,Man,Deep,3,Jaw Beard,Head Band,Depth Glasses,,,,
142,Person,Man,Fair,2,Spike Cut,Standard Shades,,,,,
143,Person,Man,Fair,2,Warm Cap,Rim Glasses,,,,,
144,Person,Man,Deep,3,Smoke Stick,Loose Hair,Rich Beard,,,,
145,Person,Man,Fair,1,Free Hair,,,,,,
146,Person,Man,Fair,2,Ear Ring,Spike Cut,,,,,
147,Person,Man,Pale,2,Thin Spike Cut,Standard Shades,,,,,
148,Person,Man,Tan,1,Hooded Top,,,,,,
149,Person,Man,Fair,3,Untidy Hair,Rich Beard,Large Shades,,,,
150,Person,Woman,Tan,2,Violet Lipstick,Ear Ring,,,,,
151,Person,Man,Tan,2,Thin Hair,Vision Gear,,,,,
152,Person,Man,Fair,2,Green Clown Eyes,Dark Spike Cut,,,,,
153,Person,Man,Tan,3,Face Mask,Soft Cap,Ear Ring,,,,
154,Person,Man,Deep,3,Hooded Top,Stubble Beard,Ear Ring,,,,
155,Person,Man,Deep,2,Funny Nose,Green Clown Hair,,,,,
156,Person,Man,Deep,2,Forward Cap,Slim Shades,,,,,
157,Person,Man,Tan,2,Smoke Stick,Soft Cap,,,,,
158,Person,Man,Fair,3,Free Hair,Goatee,Standard Shades,,,,
159,Person,Man,Fair,2,Thin Hair,Ear Ring,,,,,
160,Person,Woman,Tan,3,Twin Tails,Violet Lipstick,Blue Clown Eyes,,,,
161,Person,Woman,Deep,2,Bright Lipstick,Loose Hair,,,,,
162,Person,Man,Tan,3,Loose Hair,Dark Beard,Rim Glasses,,,,
163,Person,Man,Deep,2,Bald Head,Patch Eye,,,,,
164,Person,Woman,Tan,2,Thin Hair,Vision Gear,,,,,
165,Person,Man,Tan,3,Smoke Stick,Dark Front Beard,Dark Spike Cut,,,,
166,Person,Man,Deep,2,Bald Head,Standard Shades,,,,,
167,Person,Woman,Tan,2,Head Band,Bright Lipstick,,,,,
168,Person,Woman,Fair,3,Blue Makeup,Steel Chain,Golden Bob,,,,
169,Person,Woman,Tan,3,Wild White Hair,Bright Lipstick,Standard Shades,,,,
170,Person,Man,Fair,3,Sharp Spike,Retro Shades,Beauty Mark,,,,
171,Person,Man,Tan,3,Thin Hair,Ear Ring,Beauty Mark,,,,
172,Person,Woman,Tan,3,Violet Lipstick,Golden Bob,Depth Glasses,,,,
173,Person,Woman,Deep,5,Beauty Mark,Smoking Pipe,Untidy Hair,Bright Lipstick,Blue Clown Eyes,,
174,Person,Man,Deep,3,Free Hair,Ear Ring,Rim Glasses,,,,
175,Person,Man,Tan,2,Soft Cap,Large Shades,,,,,
176,Person,Woman,Deep,4,Standard Shades,Free Hair,Violet Lipstick,Ear Ring,,,
177,Person,Man,Deep,2,Head Wrap,Rich Beard,,,,,
178,Person,Man,Tan,1,Dress Hat,,,,,,
179,Person,Man,Pale,3,Thin Spike Cut,Stubble Beard,Retro Shades,,,,
180,Person,Woman,Deep,2,Flight Helmet,Bright Lipstick,,,,,
181,Person,Man,Deep,1,Spike Cut,,,,,,
182,Person,Man,Pale,1,Sharp Spike,,,,,,
183,Person,Man,Fair,1,Stubble Beard,,,,,,
184,Person,Woman,Deep,2,Green Makeup,Golden Bob,,,,,
185,Person,Woman,Fair,2,Wild White Hair,Bright Lipstick,,,,,
186,Person,Man,Deep,2,Moustache,Wacky Hair,,,,,
187,Person,Woman,Fair,1,Smooth Hair,,,,,,
188,Person,Man,Deep,3,Sharp Spike,Ear Ring,Study Glasses,,,,
189,Person,Woman,Fair,2,Thin Spike Cut,Violet Lipstick,,,,,
190,Person,Man,Deep,1,Head Band,,,,,,
191,Person,Woman,Deep,1,Spike Cut,,,,,,
192,Person,Man,Tan,4,Funny Nose,Thin Spike Cut,Ear Ring,Study Glasses,,,
193,Person,Woman,Fair,3,Tassel Cap,Green Makeup,Ear Ring,,,,
194,Person,Man,Fair,2,Free Hair,Green Clown Eyes,,,,,
195,Person,Woman,Fair,2,Smooth Blonde Hair,Study Glasses,,,,,
196,Person,Woman,Fair,3,Tassel Cap,Large Shades,Bright Lipstick,,,,
197,Person,Man,Deep,2,Loose Hair,Patch Eye,,,,,
198,Person,Man,Tan,2,Warm Cap,Rich Beard,,,,,
199,Person,Woman,Fair,2,Short Blonde Hair,Retro Shades,,,,,
200,Person,Woman,Deep,1,Free Hair,,,,,,
201,Person,Woman,Tan,4,Blue Makeup,Bright Lipstick,Deep Hair,Smoke Stick,,,
202,Person,Woman,Fair,3,Head Band,Violet Lipstick,Ear Ring,,,,
203,Person,Man,Fair,3,Front Facial Hair,Untidy Hair,Standard Shades,,,,
204,Person,Man,Tan,2,Wacky Hair,Standard Shades,,,,,
205,Person,Man,Tan,3,Dark Beard,Large Shades,Dark Spike Cut,,,,
206,Person,Man,Fair,3,Smoke Stick,Funny Nose,Forward Cap,,,,
207,Person,Man,Fair,3,Sharp Spike,Smoking Pipe,Patch Eye,,,,
208,Person,Man,Tan,3,Ear Ring,Bald Head,Depth Glasses,,,,
209,Person,Woman,Deep,2,Bright Lipstick,Thin Hair,,,,,
210,Person,Woman,Tan,2,Ear Ring,Smooth Dark Hair,,,,,
211,Person,Man,Deep,2,Thin Spike Cut,Goatee,,,,,
212,Person,Woman,Deep,2,Wacky Hair,Bright Lipstick,,,,,
213,Person,Woman,Tan,1,Wacky Hair,,,,,,
214,Person,Man,Deep,2,Dark Front Beard,Spike Cut,,,,,
215,Person,Woman,Tan,1,Spike Cut,,,,,,
216,Person,Man,Tan,1,Head Wrap,,,,,,
217,Person,Man,Tan,3,Jaw Beard,Ear Ring,Dark Spike Cut,,,,
218,Person,Man,Fair,4,Soft Cap,Handle Mustache,Standard Shades,Beauty Mark,,,
219,Person,Woman,Deep,4,Head Wrap,Pink Cheeks,Ear Ring,Blue Clown Eyes,,,
220,Person,Man,Pale,2,Large Shades,Head Band,,,,,
221,Person,Man,Deep,4,Thin Hair,Smoke Stick,Side Burns,Retro Shades,,,
222,Person,Man,Fair,3,Smoking Pipe,Head Rag,Slim Shades,,,,
223,Person,Man,Fair,3,Study Glasses,Simple Beard,Wacky Hair,,,,
224,Person,Man,Fair,4,Smoke Stick,Ear Ring,Study Glasses,Head Band,,,
225,Person,Woman,Tan,3,Orange Side Hair,Bright Lipstick,Ear Ring,,,,
226,Person,Woman,Tan,1,Bright Lipstick,,,,,,
227,Person,Woman,Tan,1,Wild White Hair,,,,,,
228,Person,Man,Tan,2,Sharp Spike,Slim Shades,,,,,
229,Person,Man,Fair,2,Smoke Stick,Untidy Hair,,,,,
230,Person,Man,Deep,2,Rich Beard,Wool Cap,,,,,
231,Person,Woman,Tan,3,Smoking Pipe,Thin Hair,Ear Ring,,,,
232,Person,Woman,Deep,2,Blue Makeup,Free Hair,,,,,
233,Person,Woman,Pale,2,Head Wrap,Bright Lipstick,,,,,
234,Person,Man,Fair,2,Study Glasses,Wool Cap,,,,,
235,Person,Man,Fair,2,Smoke Stick,Loose Hair,,,,,
236,Person,Man,Fair,2,Night Hair,Side Burns,,,,,
237,Person,Man,Deep,2,Spike Cut,Standard Shades,,,,,
238,Person,Woman,Tan,2,Green Clown Eyes,Smooth Dark Hair,,,,,
239,Person,Man,Deep,3,Sad Face,Goatee,Spike Cut,,,,
240,Person,Woman,Tan,2,Large Shades,Smooth Blonde Hair,,,,,
241,Person,Woman,Fair,1,Wild Blonde Hair,,,,,,
242,Person,Woman,Deep,2,Dark Lipstick,Thin Hair,,,,,
243,Person,Man,Fair,4,Smoke Stick,Front Facial Hair,Officer Cap,Ear Ring,,,
244,Person,Woman,Fair,3,Standard Shades,Free Hair,Violet Lipstick,,,,
245,Person,Woman,Deep,1,Deep Hair,,,,,,
246,Person,Man,Pale,3,Head Wrap,Rich Beard,Ear Ring,,,,
247,Person,Woman,Deep,2,Green Makeup,Dark Spike Cut,,,,,
248,Person,Woman,Deep,2,Untidy Hair,Purple Makeup,,,,,
249,Person,Woman,Fair,1,Orange Side Hair,,,,,,
250,Person,Woman,Tan,3,Green Clown Eyes,Loose Hair,Ear Ring,,,,
251,Person,Woman,Fair,2,Green Makeup,Dark Spike Cut,,,,,
252,Person,Man,Pale,2,Forward Cap,Beauty Mark,,,,,
253,Person,Woman,Deep,2,Green Clown Eyes,Short Blonde Hair,,,,,
254,Person,Man,Fair,1,Dress Hat,,,,,,
255,Person,Man,Fair,2,Moustache,Bald Head,,,,,
256,Person,Man,Deep,4,Dress Hat,Vapor Stick,Ear Ring,Patch Eye,,,
257,Person,Man,Fair,2,Soft Cap,Sad Face,,,,,
258,Person,Man,Tan,2,Forward Cap,Handle Mustache,,,,,
259,Person,Man,Fair,3,Face Mask,Forward Cap,Ear Ring,,,,
260,Person,Man,Deep,2,Violet Hair,Depth Glasses,,,,,
261,Person,Woman,Deep,2,Wild White Hair,Dark Lipstick,,,,,
262,Person,Woman,Deep,2,Short Blonde Hair,Standard Shades,,,,,
263,Person,Man,Pale,2,Untidy Hair,Side Burns,,,,,
264,Person,Woman,Pale,2,Wild White Hair,Ear Ring,,,,,
265,Person,Man,Deep,3,Forward Cap,Golden Chain,Ear Ring,,,,
266,Person,Man,Deep,3,Ear Ring,Head Rag,Slim Shades,,,,
267,Person,Man,Deep,2,Funny Nose,Dress Hat,,,,,
268,Person,Woman,Fair,1,Wool Cap,,,,,,
269,Person,Man,Deep,4,Rich Beard,Hooded Top,Ear Ring,Slim Shades,,,
270,Person,Woman,Tan,2,Red Spike Cut,Blue Clown Eyes,,,,,
271,Person,Man,Tan,1,Thin Hair,,,,,,
272,Person,Man,Tan,2,Untidy Hair,Front Teeth,,,,,
273,Person,Man,Fair,2,Forward Cap,Large Shades,,,,,
274,Person,Man,Fair,4,Soft Cap,Handle Mustache,Ear Ring,Standard Shades,,,
275,Person,Woman,Tan,3,Purple Makeup,Thin Hair,Violet Lipstick,,,,
276,Person,Woman,Fair,1,Wacky Hair,,,,,,
277,Person,Woman,Fair,1,Red Spike Cut,,,,,,
278,Person,Woman,Pale,2,Dark Lipstick,Smooth Dark Hair,,,,,
279,Person,Woman,Tan,3,Blue Makeup,Smooth Blonde Hair,Violet Lipstick,,,,
280,Person,Man,Pale,1,Ear Ring,,,,,,
281,Person,Man,Fair,0,,,,,,,
282,Person,Woman,Pale,2,Retro Shades,Smooth Dark Hair,,,,,
283,Person,Woman,Fair,2,Bright Lipstick,Loose Hair,,,,,
284,Person,Man,Pale,1,Thin Spike Cut,,,,,,
285,Person,Woman,Fair,2,Deep Hair,Violet Lipstick,,,,,
286,Person,Man,Pale,2,Free Hair,Goatee,,,,,
287,Person,Woman,Pale,3,Spike Cut,Purple Makeup,Smoke Stick,,,,
288,Person,Man,Pale,1,Bald Head,,,,,,
289,Person,Woman,Tan,2,Thin Spike Cut,Patch Eye,,,,,
290,Person,Woman,Tan,1,Wild Blonde Hair,,,,,,
291,Person,Man,Tan,2,Thin Spike Cut,Ear Ring,,,,,
292,Person,Woman,Fair,2,Tassel Cap,Dark Lipstick,,,,,
293,Person,Man,Fair,2,Handle Mustache,Dark Spike Cut,,,,,
294,Person,Man,Deep,3,Hooded Top,Large Shades,Ear Ring,,,,
295,Person,Man,Tan,2,Sad Face,Bald Head,,,,,
296,Person,Man,Tan,1,Thin Spike Cut,,,,,,
297,Person,Man,Tan,2,Side Burns,Wacky Hair,,,,,
298,Person,Woman,Fair,1,Side Shaved,,,,,,
299,Person,Man,Deep,2,Side Burns,Head Rag,,,,,
300,Person,Man,Fair,2,Goatee,Head Band,,,,,
301,Person,Woman,Pale,3,Red Spike Cut,Green Makeup,Bright Lipstick,,,,
302,Person,Woman,Tan,3,Blue Makeup,Head Wrap,Violet Lipstick,,,,
303,Person,Woman,Deep,2,Red Spike Cut,Violet Lipstick,,,,,
304,Person,Man,Tan,2,Sharp Spike,Stubble Beard,,,,,
305,Person,Woman,Pale,3,Vision Gear,Violet Lipstick,Golden Bob,,,,
306,Person,Woman,Fair,2,Vapor Stick,Free Hair,,,,,
307,Person,Man,Tan,2,Loose Hair,Jaw Beard,,,,,
308,Person,Man,Fair,3,Untidy Hair,Rim Glasses,Beauty Mark,,,,
309,Person,Man,Tan,2,Large Shades,Bald Head,,,,,
310,Person,Man,Deep,4,Head Wrap,Vapor Stick,Retro Shades,Ear Ring,,,
311,Person,Man,Fair,2,Front Facial Hair,Loose Hair,,,,,
312,Person,Man,Fair,2,Forward Cap,Jaw Beard,,,,,
313,Person,Woman,Fair,2,Violet Lipstick,Dark Spike Cut,,,,,
314,Person,Man,Pale,2,Face Mask,Officer Cap,,,,,
315,Person,Woman,Tan,3,Wild White Hair,Dark Lipstick,Smoke Stick,,,,
316,Person,Woman,Deep,1,Head Wrap,,,,,,
317,Person,Man,Tan,3,Head Wrap,Sad Face,Jaw Beard,,,,
318,Person,Woman,Pale,3,Head Wrap,Bright Lipstick,Smoke Stick,,,,
319,Person,Woman,Fair,2,Ear Ring,Smooth Dark Hair,,,,,
320,Person,Man,Deep,1,Thin Hair,,,,,,
321,Person,Man,Tan,1,Sharp Spike,,,,,,
322,Person,Woman,Tan,3,Dark Lipstick,Pink Hair Hat,Green Clown Eyes,,,,
323,Person,Man,Deep,1,Dark Spike Cut,,,,,,
324,Person,Woman,Pale,3,Bright Lipstick,Ear Ring,Golden Bob,,,,
325,Person,Man,Deep,3,Officer Cap,Moustache,Slim Shades,,,,
326,Person,Woman,Deep,3,Wild White Hair,Bright Lipstick,Ear Ring,,,,
327,Person,Man,Pale,1,Wacky Hair,,,,,,
328,Person,Man,Fair,2,Head Wrap,Rim Glasses,,,,,
329,Person,Woman,Tan,2,Head Wrap,Patch Eye,,,,,
330,Person,Man,Tan,2,Wool Cap,Green Clown Eyes,,,,,
331,Person,Woman,Pale,3,Tassel Cap,Violet Lipstick,Ear Ring,,,,
332,Person,Man,Deep,2,Thin Hair,Rim Glasses,,,,,
333,Person,Woman,Fair,3,Purple Makeup,Smooth Blonde Hair,Violet Lipstick,,,,
334,Person,Man,Deep,2,Free Hair,Full Beard,,,,,
335,Person,Man,Tan,1,Green Clown Hair,,,,,,
336,Person,Man,Tan,3,Study Glasses,Simple Beard,Tall Hat,,,,
337,Person,Man,Tan,1,Loose Hair,,,,,,
338,Person,Man,Fair,2,Untidy Hair,Slim Shades,,,,,
339,Person,Woman,Pale,5,Beauty Mark,Soft Cap,Large Shades,Dark Lipstick,Ear Ring,,
340,Person,Man,Tan,4,Side Burns,Head Band,Health Mask,Depth Glasses,,,
341,Person,Woman,Fair,2,Untidy Hair,Ear Ring,,,,,
342,Person,Woman,Fair,2,Head Wrap,Standard Shades,,,,,
343,Person,Man,Fair,2,Officer Cap,Stubble Beard,,,,,
344,Person,Man,Deep,1,Warm Cap,,,,,,
345,Person,Woman,Tan,2,Tassel Cap,Ear Ring,,,,,
346,Person,Man,Tan,1,Violet Hair,,,,,,
347,Person,Man,Tan,2,Rim Glasses,Wool Cap,,,,,
348,Person,Woman,Fair,3,Untidy Hair,Pink Cheeks,Study Glasses,,,,
349,Person,Man,Deep,3,Dark Front Beard,Ear Ring,Dark Spike Cut,,,,
350,Person,Woman,Tan,1,Thin Hair,,,,,,
351,Person,Man,Fair,3,Violet Hair,Goatee,Beauty Mark,,,,
352,Person,Woman,Tan,2,Green Makeup,Smooth Hair,,,,,
353,Person,Woman,Fair,2,Head Wrap,Green Makeup,,,,,
354,Person,Man,Pale,2,Smoke Stick,Officer Cap,,,,,
355,Person,Woman,Pale,4,Wild White Hair,Dark Lipstick,Golden Chain,Green Makeup,,,
356,Person,Man,Fair,1,Thin Hair,,,,,,
357,Person,Woman,Deep,2,Tassel Cap,Ear Ring,,,,,
358,Person,Man,Fair,3,Rich Beard,Spike Cut,Slim Shades,,,,
359,Person,Woman,Pale,2,Untidy Hair,Bright Lipstick,,,,,
360,Person,Man,Tan,2,Head Wrap,Dark Beard,,,,,
361,Person,Man,Tan,1,Dark Spike Cut,,,,,,
362,Person,Man,Tan,3,Face Mask,Sharp Spike,Stubble Beard,,,,
363,Person,Man,Pale,3,Stubble Beard,Study Glasses,Ranch Hat,,,,
364,Person,Man,Pale,2,Dark Beard,Hooded Top,,,,,
365,Person,Man,Fair,2,Simple Beard,Head Rag,,,,,
366,Person,Man,Tan,3,Face Mask,Ear Ring,Spike Cut,,,,
367,Person,Man,Deep,1,Green Clown Hair,,,,,,
368,Person,Woman,Tan,2,Loose Hair,Violet Lipstick,,,,,
369,Person,Man,Fair,3,Rich Beard,Dress Hat,Ear Ring,,,,
370,Person,Man,Deep,4,Smoke Stick,Sharp Spike,Pink Cheeks,Slim Shades,,,
371,Person,Woman,Tan,1,Loose Hair,,,,,,
372,Primate,Man,Plain,1,Forward Cap,,,,,,
373,Person,Man,Deep,2,Ear Ring,Head Band,,,,,
374,Person,Woman,Deep,2,Head Wrap,Blue Clown Eyes,,,,,
375,Person,Woman,Fair,2,Green Makeup,Free Hair,,,,,
376,Person,Woman,Fair,2,Side Shaved,Study Glasses,,,,,
377,Person,Man,Pale,5,Smoke Stick,Ear Ring,Simple Beard,Head Band,Standard Shades,,
378,Person,Woman,Deep,2,Loose Hair,Ear Ring,,,,,
379,Person,Woman,Fair,3,Thin Spike Cut,Violet Lipstick,Ear Ring,,,,
380,Person,Woman,Fair,3,Dark Lipstick,Free Hair,Ear Ring,,,,
381,Person,Woman,Fair,2,Wool Cap,Violet Lipstick,,,,,
382,Person,Woman,Fair,2,Flight Helmet,Smoke Stick,,,,,
383,Person,Woman,Tan,2,Green Makeup,Smooth Blonde Hair,,,,,
384,Person,Woman,Tan,3,Head Wrap,Retro Shades,Violet Lipstick,,,,
